Gene,Mean_GBM,Mean_Other,Diff_Score,T_Stat,P_Value,FDR,Cohen_D,Std_GBM,Std_Other,Rank_Selectivity
CHMP4B,-1.6476378252502015,-1.0694671696905278,-0.5781706555596737,-9.07876247385849,5.758429233075132e-14,3.226699830570943e-11,-0.9580372222443027,0.5012999018366107,0.6095435578473738,1
RPP25L,-0.9883600934509768,-0.45084986108479547,-0.5375102323661813,-8.82669786554721,3.7778549794186884e-13,1.7826504641041186e-10,-1.2859360036196004,0.49085315138942087,0.41281170349770757,2
FERMT2,-1.0759209398659322,-0.5656348889295294,-0.5102860509364028,-8.05136873817927,8.352282971235993e-12,2.995295719144652e-09,-0.9845873167411772,0.505362946049939,0.519101966021423,3
GPX4,-1.2142014449490368,-0.7540255932925086,-0.4601758516565282,-4.9441961458112225,4.8769704852146945e-06,0.0003389494487224213,-0.8327523251743328,0.7550366742827008,0.5368052423175428,4
KIF18A,-1.7153281149841437,-1.2942205195589767,-0.42110759542516707,-5.65695530669016,2.3980801115814355e-07,2.7741919019849497e-05,-0.6384247896377727,0.5897240631590188,0.6638907820840965,5
PRKAR1A,-0.5856022837739937,-0.18438661077593183,-0.4012156729980619,-9.056065215018346,1.8426996325497842e-13,9.440413460357194e-11,-1.601997019861359,0.36003347293226806,0.2416117864792136,6
ITGAV,-0.9237969122324511,-0.5394496105016989,-0.38434730173075216,-8.665130791997804,4.290743681241732e-13,1.9334897234191028e-10,-0.9568677017849464,0.3506985490465295,0.40476283183797407,7
VRK1,-0.8512951395463492,-0.4856117501684198,-0.3656833893779294,-6.774294739003564,2.9673246801172957e-09,5.911899871020359e-07,-1.1531386019040533,0.438079281066474,0.3076179844752451,8
NHLRC2,-1.032281444410687,-0.6844780779033766,-0.34780336650731036,-5.17893624872332,1.8442224958740538e-06,0.00015525236419491856,-0.7119291700227552,0.5396162400699052,0.4850309202198505,9
FAM50A,-0.8981765180092487,-0.5535980384085352,-0.3445784796007135,-5.228995256100783,1.45057086587372e-06,0.00012812899603931857,-0.6537194105961605,0.5262880076443652,0.5271575758812429,10
SBDS,-2.0734798313915483,-1.7452874063277057,-0.3281924250638426,-4.706192412041988,1.1039368146800822e-05,0.000626637709459949,-0.5827236119387977,0.5565623986183941,0.5636331840304628,11
JUN,-0.6728317321465918,-0.3484155820693002,-0.3244161500772916,-7.271181235030166,3.4572290621774794e-10,8.731207649845687e-08,-1.1632290692891623,0.36119897726883693,0.2726857178097656,12
PSMG4,-1.685516912010649,-1.37497208578759,-0.310544826223059,-5.26606583925787,1.2345747258277158e-06,0.00011529770525425402,-0.6412499866528668,0.47006743434235226,0.4851896721370321,13
PRKRA,-0.9460400764182398,-0.6368477172281714,-0.3091923591900685,-4.092637777252396,0.0001087821447376045,0.0031886036509245876,-0.6126416683782963,0.6097809486577611,0.49708927924531887,14
GRB2,-1.2105887745086943,-0.9056385313567927,-0.30495024315190156,-4.2667805661945595,5.527893809097497e-05,0.0020187507920759106,-0.49458526704690137,0.56749491382287,0.619632833882402,15
SYS1,-1.3546351310219733,-1.0578205558083065,-0.29681457521366683,-5.631135175657269,2.5865468375749823e-07,2.9730366246510904e-05,-0.6109517967218796,0.4160561598594039,0.4900134606945093,16
LMNA,-0.6730882031837531,-0.38318268993853266,-0.2899055132452204,-6.467344415902321,1.1501837832876762e-08,1.9456552281255964e-06,-1.2885537444397557,0.3655923263023976,0.21265461096285287,17
ITGB5,-0.7227240024003536,-0.43407191042955096,-0.28865209197080266,-5.452176101141551,6.463963938521477e-07,6.585530533047079e-05,-0.8190103414561608,0.4273917899675493,0.34700957865975196,18
TUBB,-1.988671845307068,-1.7004742643789044,-0.2881975809281636,-4.257421777001881,5.4830213861662986e-05,0.0020105533021543536,-0.4347566124799025,0.5310087474578972,0.6705677042509827,19
SNRPB2,-1.0270186675800963,-0.7408491560773022,-0.2861695115027941,-4.4015800126322615,3.522491326367682e-05,0.0014587018931431616,-0.59229030204615,0.5217455859113714,0.4805426386220716,20
PTK2,-0.8626573938481118,-0.5772917802968034,-0.2853656135513084,-5.478953300868315,5.534872772356111e-07,5.703781820753875e-05,-0.7383496850001906,0.4180099215107355,0.38435344993150217,21
PPP1R12A,-1.4291520654521754,-1.1458218244683336,-0.28333024098384185,-4.6295782548567,1.4724709126373068e-05,0.0007716100506929828,-0.5703957614438661,0.48825861436275664,0.49727096175446334,22
PPP2R1A,-1.1261253747005155,-0.8428478019607093,-0.28327757273980625,-6.615129237932672,2.6900637138801503e-09,5.479772786474322e-07,-0.5750804656087962,0.32883602233889964,0.5013819100426544,23
UBC,-0.6295122071297053,-0.34724306672968663,-0.2822691404000187,-4.37797979632954,8.296399374355852e-05,0.0026852479635663317,-0.7783850529964419,0.349570331309648,0.3634670491463846,24
KIF18B,-0.7645840758424218,-0.482350015968869,-0.2822340598735528,-4.52369975307256,2.390219385392782e-05,0.0011046140154504632,-0.8260436882475684,0.5075458258542846,0.32800000142895797,25
CTDNEP1,-0.6374567089942671,-0.36470221096398137,-0.27275449803028573,-7.324774098190177,2.6761816691337293e-10,7.056854927828956e-08,-1.13480253524501,0.30103791749874037,0.23587094755565102,26
C3orf38,-0.5924507560721485,-0.3349643275460394,-0.2574864285261091,-6.49548975881172,8.619967034141636e-09,1.4861983547037853e-06,-0.9355574968379199,0.31933672408546415,0.27210829536021325,27
RPL10A,-2.4092856959418136,-2.156475561427526,-0.25281013451428747,-6.53938009640697,5.602979311632848e-09,1.046531479550923e-06,-0.7288149421968702,0.30592123148842215,0.34937387150471044,28
PDCD2,-1.4198585354335116,-1.1716941176094842,-0.24816441782402743,-5.112425393577253,1.928447486526091e-06,0.00015952987917669078,-0.47933360866808533,0.3768621209759633,0.5255773385832706,29
HNRNPH1,-1.2793438073126209,-1.0382701205724991,-0.24107368674012175,-4.22199099332256,6.518335568147862e-05,0.0022703493056740304,-0.49418746492464416,0.453747575412447,0.489950417232377,30
